name,location
Rookies 루키즈 1~24권(완),책장 8-8
마음의 소리 레전드100 2 - 노잼의 복수,책장 7-6
마음의 소리 레전드100 3 - 갓석의 귀환,책장 7-6
마음의 소리 레전드100 4 - 보이지 않던 재미,책장 7-6
방패용사 성공담 1~19권,책장 7-7
동네에서 소문난 텐구의 아이 1~11권,책장 8-1
흑백작은 별을 사랑한다 1~12권(완),책장 8-1
오빠가 여동생이고 여동생이 오빠고 1~7권(완),책장 8-1
첫사랑 몬스터 1~8권,책장 8-1
연애 서바이벌 1~7권,책장 8-2
그럼에도 불구하고 1~3권(완),책장 8-2
건방진천사(1~20완),책장 2-7
황태자 혹은 프린스 1~3권(완),책장 8-2
청루오페라 1~12권(완),책장 8-2
솔로이야기 1~7권,책장 8-2
코우다이가 사람들 1~6권(완),책장 8-2
오전 3시의 위험지대 1~4권(완),책장 8-2
네 곁에서 청춘중 1~8권(완),책장 8-2
은빛 숟가락 1~13권,책장 8-2
골목길 연가 1~4권(완),책장 8-2
식스 하프 1~11권(완),책장 8-2
마음 단추 1~12권(완),책장 8-2
드림슈터(1~26완),02월 02일
미약카페 1~7권(완),책장 8-2
이름없는 꽃 1~3권(완),책장 8-2
사랑한다고 말해 1~18권(완),책장 8-2
연애니 사랑이니 1~11권(완),책장 8-2
해파리 공주 1~17권(완),책장 8-2
에도로 가자! 1~6권(완),책장 8-2
할렘비트는 새벽까지 1~5권(완),책장 8-3
네가 없는 낙원 1~ 14권,책장 8-3
스트레인지 드래곤 1~3권(완),책장 8-3
사막의 하렘 1~10권(완),책장 8-3
로스트맨(1~7완),책장 2-2
병아리 사랑 1~14권(완),책장 8-3
클로버 트레플 1~10권,책장 8-3
한낮의 유성 1~12권(완),책장 8-3
푸른하늘 옐 1~19권(완),책장 8-3
101명째 아리스 1~9권(완),책장 8-3
오오타사키 단편집 1 좋아하지않아,책장 8-3
